caseID,anthrax,babesiosis,blackleg_black_quarter,cbpp,colibacillosis,cowdriosis,fmd_foot_and_mouth_disease,fasciolosis,lsd_lumpy_skin_disease_,lungworm_verminous_pneumonia,pasteurellosis_pneumonic,gi_parasites,rabies,trypanosomosis,tuberculosis,zz_other,coenurosis,contagious_ecthyma_orf_,haemonchosis,hypoglycemia_pregnancy_toxemia,mange_mites,nasal_bot,pox,ppr,trichostrongylosis,brucellosis,ccpp,mastitis,camel_calf_diarrhoea,plant_poisoning,abscess,respiratory_infections,sudden_death_unkown_d,african_horse_sickness,ascaris_foals,gi_non_infectious_colic,habronemiasis,heat_stress,epizootic_lymphangitis,ulcerative_lymphangitis,resp_lower_bact,resp_upper_bact,resp_asth_lungworm,resp_viral,strangles,tetanus,hemorrhagic_septicemia,region,location,species,age,breed,sex,app_disease,user_disease
2296,2.7121,9.93281,1.32264,22.2719,0.590464,13.4093,4.88769,0.0055664,7.01492,1.9726,23.0281,0.134279,3.03794,5.28395,4.20374,0.191985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Female,CBPP,62
2297,0.0942539,0.201449,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.9258,0.228415,0.287617,-1,54.6568,-1,-1,-1,-1,0.0181119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.3289,0.0717522,0.0617973,0.0136098,-1,-1,0.030428,0.0168182,0.00615805,0.00615805,0.0213721,0.030486,-1,Somali,,Donkey,Older than 2 Years,Local,Female,GI parasites,50
2298,-1,-1,-1,-1,-1,7.14286,-1,7.14286,-1,7.14286,7.14286,-1,-1,-1,-1,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,Older than 2 Years,Local,Female,zz_Other,98
2299,-1,-1,-1,-1,-1,0.0084956,-1,27.0472,-1,0.757046,2.48691,-1,-1,-1,-1,31.762,0.0457153,0.00595993,8.01881,0.0660333,0.102402,0.00975261,0.624167,11.7275,17.338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,13-24 Months,Local,Male,zz_Other,12
2300,-1,-1,-1,-1,-1,7.69231,-1,-1,-1,7.69231,7.69231,-1,-1,-1,-1,7.69231,-1,7.69231,-1,7.69231,7.69231,-1,7.69231,7.69231,7.69231,7.69231,7.69231,7.69231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,13-24 Months,Local,Male,Mange mites,12
2301,0.000138818,0.00546057,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0953221,0.692936,0.00144531,-1,3.09E-14,-1,-1,-1,-1,89.7835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00721542,0.0134164,9.33052,0.00555444,-1,-1,0.000410659,0.00288223,0.0452463,0.00383175,0.000540281,0.0115378,-1,Somali,jigjiga vet clinic,Donkey,Older than 2 Years,Local,Male,Mange mites,12
2302,-1,-1,-1,-1,-1,0.00148166,-1,-1,-1,2.49853,4.94E-05,-1,-1,-1,-1,2.48E-11,-1,3.41761,-1,0.000709866,20.8606,-1,0.193276,0.000225548,30.0347,37.738,0.0902677,5.16451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,13-24 Months,Local,Female,zz_Other,72
2304,-1,-1,-1,-1,-1,2.70545,-1,-1,-1,1.72165,29.9751,-1,-1,-1,-1,14.6687,-1,0.214131,-1,0.264611,0.0203547,-1,10.6796,17.2564,0.117243,0.264611,21.7051,0.407094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Goats,Older than 2 Years,Local,Female,Pasteurellosis_pneumonic,72
2305,-1,-1,-1,-1,-1,1.47045,-1,-1,-1,1.2368,26.4423,-1,-1,-1,-1,14.9327,-1,0.870547,-1,0.0173848,0.0173848,-1,15.5925,23.215,0.0389419,0.226002,15.5925,0.347696,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Goats,Older than 2 Years,Local,Female,Mastitis,72
2306,6.45789,6.45789,6.98265,7.45662,6.72027,6.45789,7.54973,7.45662,7.54973,4.79898,5.97545,7.98984,1.48117,7.72747,7.45662,1.48117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Cattle,Older than 2 Years,Local,Female,zz_Other,21
