caseID,abdominal_pain_rolling_kicking_stomach,anaemia_pallor,ataxia_incoordinated_movement,anorexia_loss_of_appetite,constipation,depression_apathy,diarrhoea,abnormal_breathing_,dyspnoea_difficulty_breathing,staring_rough_coat,fecal_output_absence_of,hair_loss_alopecia,stunted_growth,lymphnode_enlargement,nasal_discharge_serous,submandibular_ventral_oedema,weakness,nasal_discharge_mucopurullent,weight_loss_emaciation,occular_discharge_invol_eyelid_closure,pyrexia_fever,swelling_neck_area,icterus_yellowish_mucous_membrane,coughing_including_owner_reported,dysentery_bloody_diarrhea,dehydration,occular_nasal_discharge,abortion,congested_mucous_membrane,dyspnoea_coughing,lameness,nodular_lesions_painful,sudden_death,region,location,species,age,breed,sex,app_disease,user_disease
49, , ,Present,Present,Absent,Present,Absent, , ,Absent, , ,Absent, , , ,Present,Present, , , ,Present, , , ,Absent,Present,Present, , ,Present, , ,Amhara,kombolcha,Goats,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
50, ,Absent, , , ,Present,Present, , , , , ,Absent, , , ,Absent, , , , ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,kombolcha,Sheep,13 - 24 months,Local,Male,PPR,-1
51, , ,Present,Present, ,Present,Absent, , , , , , ,Absent, , , ,Present, , , , , ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,kombolcha,Sheep,13 - 24 months,Local,Female,zz_Other,76
52, , ,Present,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, , , ,Absent,Absent,Present, , , , , ,Amhara,kombolcha,Goats,13 - 24 months,Local,Female,Mange mites,1
53,Absent,Absent,Absent,Absent, ,Absent,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Present,Present,Absent,Absent, ,Absent, , , , , , , , ,SNNP,bulie,Horse/Mule,2 - 4 years,Local,Female,Habronemiasis,-1
54, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,-1
55, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , , , , ,Oromia,Batu clinic,Goats,2 - 4 years,Local,Female,PPR,-1
56, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,0 - 6 months,Local,Female,PPR,-1
57, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,7 - 12 months,Local,Male,PPR,-1
58, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , , ,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Female,PPR,-1
59, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Batu clinic,Goats,13 - 24 months,Local,Male,zz_Other,12
60, ,Absent,Absent,Absent,Absent,Present,Present, , ,Absent, , ,Absent,Present, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Male,Trichostrongylosis,-1
61, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Present, , ,Absent, , ,Oromia,batu clinic,Sheep,13 - 24 months,Local,Female,Trichostrongylosis,-1
62, , ,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Somalia,batu clinic,Sheep,2 - 4 years,Local,Female,Trichostrongylosis,-1
63, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Batu clinic,Goats,0 - 6 months,Local,Female,Trichostrongylosis,-1
64, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Male,Fasciolosis,-1
65, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Present,Absent, ,Absent, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Male,Fasciolosis,-1
66, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,batu clinic,Cattle,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
67, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
68, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Present,Absent,Present, , ,Absent, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Male,PPR,-1
69, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Absent, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Male,PPR,-1
70, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Absent, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Male,PPR,-1
71, ,Absent,Absent,Present,Present,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Present,Present,Present, , ,Absent, , ,Oromia,Batu clinic,Goats,2 - 4 years,Local,Male,PPR,-1
72, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Present,Absent,Present, , ,Absent, , ,Oromia,Batu clinic,Goats,7 - 12 months,Local,Male,PPR,-1
73, ,Absent,Present,Absent,Present,Present,Absent, , ,Present, , , ,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Batu clinic,Goats,7 - 12 months,Local,Female,zz_Other,17
74, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
75, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Absent, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
76, ,Absent,Absent,Present,Absent,Absent,Absent, , , , , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Male,Pasteurellosis_pneumonic,-1
77, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,0 - 6 months,Local,Male,Pasteurellosis_pneumonic,-1
